run,env,design,seed,trainable_parameters,val_pred_loss,clean_mse_pre,clean_mse_blackout_transition,clean_mse_deep_blackout,clean_mse_first_post,clean_mse_recovery,clean_mse_late_post,clean_mse_all,clean_mse_first_post_ablated,clean_input_mse_first_post,last_visible_mse_first_post,constant_mse_first_post,persistence_mse_first_post,val_hier_loss,val_hier_loss_fast,val_hier_loss_medium,val_hier_loss_slow,val_hier_loss_h1,val_hier_loss_h2,val_hier_loss_h4,val_hier_loss_h8,val_hier_loss_h16,tau_fast,tau_slow,tau_fast_min,tau_fast_max,tau_medium_min,tau_medium_max,val_hier_loss_bridge,val_hier_loss_recovery,val_hier_overlap,rho_fast,rho_medium,action_head_fast_norm,action_head_medium_norm,action_head_cosine
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaction-s1,dmc:ball_in_cup.catch.occ,hacssmv7_noaction,1,852614,0.9053643997510274,0.6169005036354065,0.7517120242118835,1.0743099451065063,1.097882866859436,0.7925848960876465,0.7226231098175049,0.754259467124939,1.740820050239563,0.6902151703834534,2.2903213500976562,1.2641915082931519,16.771806716918945,0.11209317366282145,0.0777551582455635,0.14643118798732757,,0.0506680932144324,0.1048422274986903,0.097031884988149,0.19583048144976298,,2.0,8.0,,,,,0.13454613387584685,0.08964020599921545,0.0,0.5984013676643372,0.5603758096694946,0.0,0.0,0.0
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaction-s2,dmc:ball_in_cup.catch.occ,hacssmv7_noaction,2,852614,0.9119050470987956,0.6163651347160339,0.7637691497802734,1.0918177366256714,1.1163333654403687,0.774540901184082,0.7147684097290039,0.7530593872070312,1.851508378982544,0.721973717212677,2.2903213500976562,1.2641915082931519,16.771806716918945,0.11210816711187363,0.07734871725241343,0.1468676201502482,,0.050224428375562034,0.10447300563255946,0.0969906829794248,0.19674455841382343,,2.0,8.0,,,,,0.13460668543974558,0.08960965732733409,0.0,0.5951945781707764,0.5575284957885742,0.0,0.0,0.0
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaction-s3,dmc:ball_in_cup.catch.occ,hacssmv7_noaction,3,852614,0.8735661117235819,0.6091566681861877,0.7737705111503601,1.0752633810043335,1.0400125980377197,0.7724343538284302,0.7242132425308228,0.7520983219146729,1.808619737625122,0.7330289483070374,2.2903213500976562,1.2641915082931519,16.771806716918945,0.11573270181814829,0.07843979040781657,0.15302561004956564,,0.05071519022186597,0.10616439322630565,0.09969635566075642,0.20635485589504243,,2.0,8.0,,,,,0.13859548489252727,0.09286991238594056,0.0,0.5986803770065308,0.5585969686508179,0.0,0.0,0.0
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaction-s4,dmc:ball_in_cup.catch.occ,hacssmv7_noaction,4,852614,0.909492290019989,0.6091616749763489,0.7685367465019226,1.0815545320510864,1.1179133653640747,0.7762287855148315,0.7069336175918579,0.7474108338356018,1.9760947227478027,0.7185365557670593,2.2903213500976562,1.2641915082931519,16.771806716918945,0.11022431363662084,0.07629928727944692,0.14414933999379476,,0.04998370458682378,0.10261486997207006,0.096030127008756,0.19226855198542278,,2.0,8.0,,,,,0.13193278551101684,0.08851583967606226,0.0,0.6085271835327148,0.5671999454498291,0.0,0.0,0.0
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s0,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,0,852614,0.8067797549565633,0.6079443693161011,0.7933842539787292,1.0650020837783813,0.9196161031723022,0.7642955183982849,0.712067723274231,0.7426156401634216,2.1301023960113525,0.7083359956741333,2.2903213500976562,1.2641915082931519,16.771806716918945,0.1274462890625,0.084380504488945,0.17051207681496938,,0.05446002021431923,0.11430099248886108,0.10578229824701944,0.23524185220400493,,2.0,8.0,,,,,0.15260824183622995,0.10228433420260748,0.0,0.6059677004814148,0.5515691041946411,3.6418161392211914,3.46925950050354,0.7320268154144287
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s1,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,1,852614,0.8092456110318502,0.6112030148506165,0.7490612864494324,1.0301367044448853,0.9181687235832214,0.7854728698730469,0.7184523940086365,0.7394829988479614,2.1140761375427246,0.6885921955108643,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12434525728225708,0.08272714008887609,0.16596337020397187,,0.05360438386599223,0.11184989313284556,0.10435800383488338,0.22756873865922292,,2.0,8.0,,,,,0.14962114135424295,0.09906936685244243,0.0,0.6010213494300842,0.5461612343788147,3.589944362640381,3.420753240585327,0.738648533821106
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s2,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,2,852614,0.8378855339686075,0.6093609929084778,0.7198152542114258,1.0470919609069824,0.9766353368759155,0.7776867151260376,0.7140449285507202,0.7372703552246094,1.8030452728271484,0.7087509632110596,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12311009138822555,0.08129968106746674,0.1649204953511556,,0.05267353187004725,0.10992583185434342,0.10362279991308848,0.22621819933255513,,2.0,8.0,,,,,0.14808193484942117,0.09813825110594432,0.0,0.6018690466880798,0.5452249646186829,3.6198158264160156,3.3877627849578857,0.7235060334205627
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s3,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,3,852614,0.8168819952011108,0.6072263717651367,0.761463463306427,1.0423153638839722,0.9353548288345337,0.7713584899902344,0.7180579304695129,0.7405083775520325,1.851831078529358,0.723921000957489,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12819807598988214,0.08382925967375437,0.17256689230600994,,0.05384040236473084,0.1138181185722351,0.10692411045233409,0.2382096858819326,,2.0,8.0,,,,,0.1536392303307851,0.10275692592064539,0.0,0.6048585772514343,0.5453824996948242,3.7527942657470703,3.4016330242156982,0.7333146333694458
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noaux-s4,dmc:ball_in_cup.catch.occ,hacssmv7_noaux,4,852614,0.8148500903447469,0.6129597425460815,0.7760658264160156,1.0751155614852905,0.9364471435546875,0.7622159719467163,0.7071709036827087,0.7413227558135986,1.8908970355987549,0.7163493037223816,2.2903213500976562,1.2641915082931519,16.771806716918945,0.12202653855085373,0.0815551894903183,0.16249788761138917,,0.053192441562811534,0.1099179353316625,0.10271467188994089,0.2222811011473338,,2.0,8.0,,,,,0.1465044806400935,0.09754859218994777,0.0,0.6146366000175476,0.5518926382064819,3.7441868782043457,3.3989264965057373,0.7572345733642578
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s0,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,0,852614,0.8037023679415385,0.6057317852973938,0.7892810702323914,1.0413421392440796,0.9163979887962341,0.7642547488212585,0.7083173394203186,0.7374146580696106,2.1915910243988037,0.7012025713920593,2.2903213500976562,1.2641915082931519,16.771806716918945,0.15176846305529276,0.11708455959955852,0.18645235598087312,,0.07571982930103938,0.15844928562641145,0.11623915354410808,0.25666555523872375,,2.0,8.0,,,,,0.15176846305529276,0.0,0.0,0.6083292365074158,0.5532896518707275,3.7013652324676514,3.421381950378418,0.7309182286262512
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s1,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,1,852614,0.8097955608367919,0.6156745553016663,0.7506857514381409,1.0198802947998047,0.9170326590538025,0.7878873348236084,0.7197166085243225,0.7403636574745178,1.9468607902526855,0.6852689385414124,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14878749211629233,0.11487560808658599,0.1826993707815806,,0.07426132450501124,0.1554898895819982,0.114779132604599,0.250619615316391,,2.0,8.0,,,,,0.14878749211629233,0.0,0.0,0.5993980169296265,0.5497506856918335,3.7071118354797363,3.4866716861724854,0.7251802682876587
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s2,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,2,852614,0.8203537710507711,0.616826593875885,0.7248468995094299,1.0381789207458496,0.9389351606369019,0.7863322496414185,0.7162598371505737,0.7389601469039917,1.968632459640503,0.6941872239112854,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14595024148623148,0.11174258510271708,0.18015789369742075,,0.07253162801265717,0.1509535390138626,0.11370831241210301,0.24660748561223347,,2.0,8.0,,,,,0.14595024148623148,0.0,0.0,0.5954856276512146,0.5443249344825745,3.6055736541748047,3.3279690742492676,0.7006052732467651
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s3,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,3,852614,0.8294802045822144,0.6094534993171692,0.7631378173828125,1.046709418296814,0.9579787254333496,0.7691874504089355,0.7200040221214294,0.7431766390800476,1.8696012496948242,0.7312971353530884,2.2903213500976562,1.2641915082931519,16.771806716918945,0.1527760257323583,0.11583393812179565,0.18971810698509217,,0.0743993103504181,0.15726856271425882,0.11748165319363277,0.26195457140604655,,2.0,8.0,,,,,0.1527760257323583,0.0,0.0,0.6030441522598267,0.54757159948349,3.8534438610076904,3.384478807449341,0.7205078601837158
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_norecovery-s4,dmc:ball_in_cup.catch.occ,hacssmv7_norecovery,4,852614,0.8047910308837891,0.6114237904548645,0.7635633945465088,1.0611227750778198,0.9165414571762085,0.768966019153595,0.7081149816513062,0.7384135127067566,2.0717859268188477,0.7171180248260498,2.2903213500976562,1.2641915082931519,16.771806716918945,0.14556063175201417,0.11237793346246083,0.17874332586924235,,0.07329739977916082,0.15145846605300903,0.11283530473709107,0.24465134799480437,,2.0,8.0,,,,,0.14556063175201417,0.0,0.0,0.614295244216919,0.5547863841056824,3.822842836380005,3.3735158443450928,0.7529943585395813
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noshrink-s0,dmc:ball_in_cup.catch.occ,hacssmv7_noshrink,0,852614,0.8191919422149658,0.6135252118110657,0.8237207531929016,1.0763169527053833,0.9389175176620483,0.771593451499939,0.7162266373634338,0.7513048648834229,1.9888052940368652,0.6967439651489258,2.2903213500976562,1.2641915082931519,16.771806716918945,0.13120284994443257,0.08851382275422415,0.1738918803135554,,0.05716870665550232,0.11985893885294596,0.10649137993653615,0.24129237751166024,,2.0,8.0,,,,,0.15341831465562183,0.10898738414049149,0.0,1.0,1.0,3.744903564453125,3.291037082672119,0.7035654783248901
lewm-dmc:ball_in_cup.catch.occ-hacssmv7_noshrink-s1,dmc:ball_in_cup.catch.occ,hacssmv7_noshrink,1,852614,0.8329533553123474,0.6190558671951294,0.7674455046653748,1.0542958974838257,0.9600748419761658,0.7872435450553894,0.7204751372337341,0.7482536435127258,1.8900434970855713,0.6992676258087158,2.2903213500976562,1.2641915082931519,16.771806716918945,0.13042046427726744,0.08725631852944692,0.17358461221059163,,0.05633584588766098,0.11817679544289907,0.1068779440720876,0.24029128034909567,,2.0,8.0,,,,,0.15290562212467193,0.10793531080087027,0.0,1.0,1.0,3.7042245864868164,3.256286144256592,0.7181692719459534
